measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1997,182.38768242256964,267.30963375453655,128.3606171197443
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1998,25567.685531485382,27006.591348398746,24301.031258854968
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1998,58.32583738955362,61.60831622764875,55.43630438730957
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1998,106131.10571870329,153861.62202657937,74791.28163642134
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1998,242.10973678081663,350.9941459411351,170.6163088368049
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2003,34851.47645381451,36965.51786297555,32924.0299104743
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2003,73.4242681742567,77.87808072832235,69.36356928027148
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2003,262717.78888785833,351511.9868194308,190663.66238271844
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2003,553.487638063568,740.5571589168869,401.685704662375
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2004,36486.60302088668,39017.02141056733,34308.36395202451
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2004,76.0220926286553,81.29437574855638,71.48359689186107
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2004,286606.65848873253,376555.11357422714,211831.21588725052
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2004,597.1626881008104,784.5758539797881,441.36343157521696
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2001,29503.351679563482,31169.435679267517,27996.241858169808
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2001,63.84436748846638,67.44972325614485,60.5830270710255
